ID,Category,Nr,V/H,Description,Valence,Valence_SD,AvAp,AvAp_SD,Arousal,Arousal_SD,Width,Height,Luminance,Contrast,JPEG_size80,LABL,LABA,LABB,Entropy,Category_Valence,Category_Arousal,Neutral,Negative,Positive,
Landscapes_094_h,Landscapes,94,h,Palace,7.0625,1.45,7.1429,1.4434,3.3673,1.6162,1600,1200,119.5957,68.4992,338164,48.949,-0.515,-2.1524,7.6915,Positive,Relaxed,0,0,1,
People_189_h,People,189,h,Kite Surfers,7.0635,1.5747,7.1587,1.5679,6.0317,2.0711,1600,1200,221.7641,33.1732,352252,88.2263,-1.7822,-2.0385,6.1295,Positive,Aroused,0,0,0,
Faces_115_h,Faces,115,h,Boy Smiling,7.0638,1.1685,6.5106,1.1396,3.8936,1.5356,1600,1200,128.8592,78.9136,175069,52.5383,4.0492,3.5665,7.6758,Positive,Relaxed,0,0,1,
Faces_092_h,Faces,92,h,Family On The Beach,7.08,1.4263,6.52,1.5016,4.54,1.7867,1600,1200,133.7109,73.0759,328947,55.546,10.5363,10.5827,7.7286,Positive,Relaxed,0,0,1,
Faces_051_h,Faces,51,h,Boy On A Bike,7.0816,1.4118,6.7143,1.4142,4.3061,1.6981,1600,1200,195.5834,51.5366,275910,78.4732,-0.5485,-1.3674,7.03,Positive,Relaxed,0,0,1,
Faces_091_v,Faces,91,v,Parents With A Child,7.0816,1.4696,6.5102,1.3248,4.1429,1.9791,1200,1600,105.2757,68.6115,198319,43.2382,1.2269,1.5269,7.7311,Positive,Relaxed,0,0,1,
Animals_132_h,Animals,132,h,Swans,7.0843,1.3633,7.1084,1.3068,3.0732,1.6613,1600,1200,139.3217,58.3901,365164,57.3959,-4.6671,-7.9071,7.7444,Positive,Relaxed,0,0,1,
Faces_361_v,Faces,361,v,Drummers,7.0889,1.1042,6.9111,1.4432,5.8222,1.5709,1200,1600,138.6741,76.8925,280466,58.2563,11.0344,11.2773,7.6841,Positive,Aroused,0,0,0,
Animals_117_h,Animals,117,h,Monkey,7.0909,1.4959,6.9104,1.5738,5.029,1.9702,1600,1200,109.8413,67.4696,545615,45.5359,-8.0218,19.5636,7.921,Positive,Neutral,0,0,0,
Animals_182_h,Animals,182,h,Butterfly,7.0909,1.2737,7.0923,1.4761,4.0923,1.9583,1600,1200,63.8314,68.3291,300488,27.1195,-8.5484,15.8848,6.1267,Positive,Relaxed,0,0,1,
People_195_h,People,195,h,Kayakers,7.0926,1.3773,6.7037,1.4874,3.9444,2.0133,1600,1200,71.2384,63.4781,440612,29.8684,-7.0052,4.1995,7.5075,Positive,Relaxed,0,0,1,
Animals_134_h,Animals,134,h,Dog,7.1045,1.3611,6.6029,1.5273,4.7576,1.8897,1600,1200,106.4898,59.1548,287260,44.1229,-3.6415,6.6274,7.8076,Positive,Neutral,0,0,0,
People_068_h,People,68,h,Pizza,7.1064,1.22,7.0204,1.4789,5.1633,2.0036,1600,1200,111.7791,48.4734,285252,47.7209,13.5532,0.3365,7.4454,Positive,Neutral,0,0,0,
Faces_337_h,Faces,337,h,Man Smiling,7.1132,1.3959,6.3774,1.3619,4.2778,1.8162,1600,1200,106.0053,52.3701,193697,44.1259,-1.0679,2.8339,7.5926,Positive,Relaxed,0,0,1,
People_182_h,People,182,h,Kite Surfers,7.1154,1.3233,7.0577,1.3197,4.8846,2.39,1600,1200,165.5965,45.0211,248240,67.7665,-6.6727,1.4167,7.1709,Positive,Neutral,0,0,0,
Animals_095_h,Animals,95,h,Duck,7.1176,1.1428,7,1.3728,2.7547,1.5305,1600,1200,196.5393,60.2379,134854,78.6567,-4.5231,-2.8519,6.7442,Positive,Relaxed,0,0,1,
Faces_061_h,Faces,61,h,Baby Sleeping,7.12,1.3498,6.5833,1.6089,3.54,2.1016,1600,1200,101.9213,46.8456,132898,42.6701,3.6564,5.315,7.4084,Positive,Relaxed,0,0,1,
Faces_118_h,Faces,118,h,Children Playing,7.1224,1.0131,6.6,1.1249,4.68,1.8783,1600,1200,111.7048,59.2646,264073,47.0245,7.2697,8.598,7.7814,Positive,Neutral,0,0,0,
Faces_342_h,Faces,342,h,Woman Smiling,7.1346,1.299,6.9423,1.4741,5.451,2.1384,1600,1200,108.6316,64.7639,236243,45.4165,-1.129,-3.3117,7.7807,Positive,Neutral,0,0,0,
Animals_189_v,Animals,189,v,Turtle,7.1373,1.4003,7.0784,1.5079,3.6667,1.9253,1200,1600,132.604,60.1368,372390,55.5452,-19.9107,7.7772,7.8506,Positive,Relaxed,0,0,1,
Faces_260_h,Faces,260,h,Elderly Man,7.1429,1.3423,6.4921,1.3305,4.7143,1.736,1600,1200,69.9788,48.2526,252560,29.2042,4.9143,3.766,7.1377,Positive,Neutral,0,0,0,
Faces_324_h,Faces,324,h,Woman Smiling,7.1429,1.3661,6.8,1.5227,4.1475,2.0235,1600,1200,113.1761,80.8881,227350,45.9682,0.9802,-2.7611,7.8131,Positive,Relaxed,0,0,1,
Landscapes_179_h,Landscapes,179,h,Water Lilies,7.1429,1.6202,6.88,1.507,3.32,1.9107,1600,1200,117.1075,55.612,325721,49.8292,-22.0079,36.8592,7.522,Positive,Relaxed,0,0,1,
Animals_196_h,Animals,196,h,Dog,7.1509,1.4331,7.0189,1.5871,4.5577,2.2353,1600,1200,93.5146,60.4263,238819,38.5202,0.868,-0.451,7.6848,Positive,Relaxed,0,0,1,
Objects_086_h,Objects,86,h,Bananas,7.1509,1.0812,6.8077,1.2991,4.2642,1.8517,1600,1200,99.5866,71.8865,365883,41.383,7.0478,12.9727,7.8638,Positive,Relaxed,0,0,1,
People_152_h,People,152,h,Shadows,7.1569,1.2227,6.7843,1.3314,4.2549,1.8957,1600,1200,157.5561,78.2135,340135,63.4625,1.9726,-0.1096,7.2581,Positive,Relaxed,0,0,1,
Objects_081_h,Objects,81,h,Dumplings,7.16,1.3756,7.28,1.4434,5.28,2.0106,1600,1200,69.4658,81.0361,286651,28.5559,5.6446,14.0814,7.034,Positive,Neutral,0,0,0,
Landscapes_109_h,Landscapes,109,h,Water Lilies,7.1633,1.3283,7.102,1.3578,3.1429,1.5679,1600,1200,95.717,61.8361,308020,39.5615,-9.6986,16.0144,7.4371,Positive,Relaxed,0,0,1,
People_130_h,People,130,h,Diver,7.1667,1.562,7.25,1.6177,5.7391,2.3136,1600,1200,93.9111,57.0038,441964,42.6962,-4.6536,-32.2045,7.6956,Positive,Aroused,0,0,0,
Faces_352_h,Faces,352,h,People In The Swimming Pool,7.169,1.2982,6.7887,1.6293,5.6056,1.9602,1600,1200,93.921,55.2244,293080,39.6994,1.4487,1.8242,7.6593,Positive,Aroused,0,0,0,
Objects_180_v,Objects,180,v,Coffee Table,7.1731,1.15,7,1.3862,3.098,1.6156,1200,1600,42.6777,57.7388,198382,17.8695,7.7876,14.8674,6.5088,Positive,Relaxed,0,0,1,
People_192_h,People,192,h,Swimming Pool,7.1746,1.4317,6.6563,1.3595,4.7581,1.7619,1600,1200,140.543,61.4921,337737,58.956,-5.0914,-2.6129,7.4026,Positive,Neutral,0,0,0,
Landscapes_102_h,Landscapes,102,h,Rocks,7.1765,1.4657,7.4423,1.3345,3.9038,2.4516,1600,1200,136.3928,56.3148,389810,56.4159,3.8873,3.339,7.7316,Positive,Relaxed,0,0,1,
Animals_160_h,Animals,160,h,Seahorses,7.1791,1.3588,7.1493,1.3512,3.9091,2.066,1600,1200,123.591,66.2787,199515,51.4272,3.8509,-13.6904,7.8628,Positive,Relaxed,0,0,1,
Faces_349_h,Faces,349,h,People Smiling,7.1837,1.3018,6.6939,1.4889,5.1042,1.8593,1600,1200,74.8055,59.0963,215553,30.7027,0.697,0.5981,7.5596,Positive,Neutral,0,0,0,
People_111_h,People,111,h,Hill,7.1837,1.5231,7.3265,1.4774,4.551,2.3009,1600,1200,154.1308,31.6085,368151,63.6596,-0.6808,-16.0573,6.6516,Positive,Relaxed,0,0,1,
Animals_147_v,Animals,147,v,Lizard,7.1837,1.4094,7,1.3997,4.3061,2.3022,1200,1600,121.5684,45.263,319979,50.8223,-10.1512,12.9075,7.5315,Positive,Relaxed,0,0,1,
Objects_192_h,Objects,192,h,Plastic Duck,7.1846,1.424,6.5538,1.3923,4.1111,2.0089,1600,1200,160.3676,51.7891,117996,66.7708,-14.3544,5.025,7.4174,Positive,Relaxed,0,0,1,
Landscapes_104_h,Landscapes,104,h,Water Lilies,7.1961,1.3568,7.1765,1.3958,2.8039,1.6495,1600,1200,116.1167,70.4001,375120,48.3364,0.9267,-6.7229,7.6844,Positive,Relaxed,0,0,1,
Animals_159_h,Animals,159,h,Fish,7.2,1.3585,7.2826,1.4089,3.6087,2.0383,1600,1200,99.4835,63.9491,254423,41.525,3.9626,10.7888,7.7637,Positive,Relaxed,0,0,1,
Objects_190_h,Objects,190,h,Toy,7.2037,1.5343,6.7222,1.595,3.6038,1.5731,1600,1200,122.8505,59.3611,372277,50.8406,1.9989,7.9057,7.8272,Positive,Relaxed,0,0,1,
Animals_140_h,Animals,140,h,Fish,7.2083,1.3677,7.5102,1.2603,2.7551,1.5483,1600,1200,111.1377,53.638,281155,47.0274,-22.5282,26.9205,7.6962,Positive,Relaxed,0,0,1,
Objects_097_h,Objects,97,h,Sandwiches,7.2121,1.398,7.0152,1.353,4.7576,2.3472,1600,1200,101.2801,45.6259,371080,43.4034,13.2824,10.8831,7.3763,Positive,Neutral,0,0,0,
Landscapes_114_v,Landscapes,114,v,Snow,7.2128,1.6803,7.0208,1.6821,3.1875,1.7704,1200,1600,152.3077,87.5467,354828,61.022,1.2105,0.7547,7.4071,Positive,Relaxed,0,0,1,
People_175_h,People,175,h,Skaters,7.2131,1.3677,6.8226,1.4203,6.1475,1.9221,1600,1200,130.5759,66.1489,329743,53.741,0.5126,6.4646,7.7144,Positive,Aroused,0,0,0,
Animals_191_h,Animals,191,h,Kitten,7.2174,1.4335,7.1159,1.5391,4.3768,2.1835,1600,1200,125.5152,55.3133,424906,51.7764,0.99,-0.9198,7.7174,Positive,Relaxed,0,0,1,
Animals_188_h,Animals,188,h,Frog,7.2174,1.3648,7.0208,1.4065,4.125,1.942,1600,1200,86.5504,70.5766,239006,35.9455,-14.8821,18.3917,7.692,Positive,Relaxed,0,0,1,
Faces_125_h,Faces,125,h,Girl,7.2245,1.1949,6.902,1.1533,3.98,1.5713,1600,1200,145.2515,79.0542,243403,59.2633,3.2386,2.7274,7.6242,Positive,Relaxed,0,0,1,
Animals_099_h,Animals,99,h,Cow,7.2273,1.4759,6.6154,1.3192,3.0469,1.7677,1600,1200,106.178,58.5369,280851,44.4199,-10.8672,24.5021,7.6604,Positive,Relaxed,0,0,1,
Objects_037_h,Objects,37,h,Food,7.2308,1.3375,7.1538,1.4057,5.4231,2.0708,1600,1200,97.4135,88.2341,368335,39.7611,1.4352,6.8924,7.0577,Positive,Neutral,0,0,0,
Landscapes_049_h,Landscapes,49,h,House,7.2449,1.3924,7.2449,1.3924,2.8776,1.6911,1600,1200,162.7033,56.2355,368848,67.4555,-5.9143,-0.9926,7.6137,Positive,Relaxed,0,0,1,
Landscapes_038_h,Landscapes,38,h,Temple,7.25,1.2344,7.2813,1.5272,3.6462,2.2391,1600,1200,75.4457,62.2852,353384,31.2704,7.9407,8.7963,7.5494,Positive,Relaxed,0,0,1,
Faces_086_v,Faces,86,v,Baby,7.25,1.383,6.6667,1.5667,3.5556,1.7393,1200,1600,141.7996,72.7313,127241,57.6898,4.7883,8.0981,7.8003,Positive,Relaxed,0,0,1,
Objects_076_v,Objects,76,v,Salad,7.2537,1.4391,7.2836,1.312,4.8939,2.0616,1200,1600,185.7608,61.1387,282630,75.9113,5.8325,16.5294,7.4681,Positive,Neutral,0,0,0,
